username,main_category,subcategory,text_hook,length,views,likes,comments,shares,outlier_multiplier,uploaded_at,ad_link,caption,platform
classpoint.io,Education,Virtual Classrooms,I did this in PowerPoint in 50 seconds 😏,55,12800000,812800,935,37500,101.5873016,2023-08-28,https://www.tiktok.com/@classpoint.io/video/7272334636083105030,I bet no one ever told you that it only takes 50 seconds to give your PowerPoint this much upgrade 🤯👀 #powerpoint #design #tutorial #idea #hack #howto #edutok #studytok #animation #foryou #foryoupage ,tiktok
kadama,Education,Study Aids & Flashcards,this is how you avoid confrontation 😩💀,12,12800000,169500,531,6613,61.20009563,2022-12-27,https://www.tiktok.com/@kadama/video/7181928436884131115,@kadama thanks Apple 💀 #iphonetricks #iphonetips ,tiktok
duolingo,Education,Language Learning,Growing up,0,12400000,1500000,49200,15300,7.75,2024-02-16,https://www.tiktok.com/@duolingo/photo/7336212126849092906,#duolingo #mewingtutorial ,tiktok
duolingo,Education,Language Learning,BORN TO MAKE HISTORY,23,11900000,1900000,30400,297000,7.4375,2024-04-02,https://www.tiktok.com/@duolingo/video/7353281352294223147,WE WERE BORN TO MAKE HISTORY🗣️🗣️ #fyp #duolingo #DuolingoOnIce #YuriOnIce #historymaker,tiktok
kadama,Education,Study Aids & Flashcards,Don't tell APPLE,12,11900000,877200,16600,9898,56.8969639,2021-04-16,https://www.tiktok.com/@kadama/video/6951465652582436102,👑 #iphonetricks #lifehacks #iphonelifehacks,tiktok
kadama,Education,Study Aids & Flashcards,How to finish a 5 page essay 10x faster 😳,8,11800000,121700,433,1029,56.41883815,2022-04-12,https://www.tiktok.com/@kadama/video/7085455550338600234,How to write a college essay 10x faster 😳📝,tiktok
duolingo,Education,Language Learning,nobody: balenciaga models:,5,11800000,1600000,12500,17900,7.375,2022-10-29,https://www.tiktok.com/@duolingo/video/7159622637117771050,am I the new face of balenciaga? #duolingo #dulapeep #balenciaga #fashion ,tiktok
lingodeer.app,Education,Language Learning,Language Challenge,17,11700000,1700000,5798,9500,176.7371601,2021-05-21,https://www.tiktok.com/@lingodeer.app/video/6964558855862799622,How do you call your mom dad and other family members? #Japanese #Korean #Chinese #fyp,tiktok
duolingo,Education,Language Learning,"""WELCOME TIKTOK REFUGEE!""",25,11600000,1200000,12500,251600,7.25,2025-01-14,https://www.tiktok.com/@duolingo/video/7459895174467177774,just some good phrases to keep in your back pocket 🫰😌 #duolingo #rednote,tiktok
kadama,Education,Study Aids & Flashcards,Don't tell APPLE 👀,14,11400000,420400,3457,200600,54.50633517,2021-12-21,https://www.tiktok.com/@kadama/video/7043872921185422638,who else saw the match? #jakepaul #iphonetricks #tiktokhacks #lifetipsforyou #lifehack,tiktok
kadama,Education,Study Aids & Flashcards,How to get a live Ronaldo SIUUUU wallpaper,12,11000000,284200,1523,64600,52.59383218,2022-12-04,https://www.tiktok.com/@kadama/video/7173372466406985006,@kadama How to get a live Cristiano Ronaldo SIUUUUU wallpaper ⚽️ #lifehacks #cristianoronaldo #worldcup #iphonetricks ,tiktok
elevateapp,Education,Study Aids & Flashcards,3 signs your vocab is WEAK,45,10700000,30300,1050,2415,8243.451464,2024-05-07,https://www.tiktok.com/@elevateapp/video/7366306577306963243,Is your vocabulary weak? These are the three telltale signs. Expand your vocabulary with Elevate! #braintraining #elevateapp #elevatebraintraining #vocab #vocabulary ,tiktok
kadama,Education,Study Aids & Flashcards,Don't tell APPLE 🥵,12,10700000,558300,2819,17400,51.15945494,2021-12-24,https://www.tiktok.com/@kadama/video/7044995958580694319,🔊 louder hack #iphonetricks #iphonehacks #lifehacks #lifehackstiktok,tiktok
duolingo,Education,Language Learning,i'm sick of kidnapping families!,59,10700000,934700,20400,23400,6.6875,2024-01-25,https://www.tiktok.com/@duolingo/video/7327752679034326315,pov: i take u to a broadway show to congratulate u instead of going after ur family #duolingo #duolingostreak  #languagelearning #fyp ,tiktok
duolingo,Education,Language Learning,i'm looking for a man in,10,10500000,1000000,6427,52200,6.5625,2024-05-10,https://www.tiktok.com/@duolingo/video/7367371557775232299,hot owl summer loading… #finance #songofthesummer ,tiktok
duolingo,Education,Language Learning,omw to remind everyone to do their spanish lessons,6,10000000,1600000,23500,119300,6.25,2024-10-22,https://www.tiktok.com/@duolingo/video/7428708145884859690,skip a lesson and i give you one star | ib: @SassyChannie #dti #dresstoimpress #duolingo ,tiktok
duolingo,Education,Language Learning,celebrating getting my blue check back,10,9900000,1100000,69000,123200,6.1875,2024-06-14,https://www.tiktok.com/@duolingo/video/7380068067579006251,is somebody gonna match my streak? #verified #duolingo #languagelearning,tiktok
lingodeer.app,Education,Language Learning,Language Challenge,17,9900000,1100000,4758,4262,149.5468278,2022-06-15,https://www.tiktok.com/@lingodeer.app/video/7109453979817381163,"‼️POP QUIZ: what does ""chichi""/""haha"" mean? #learnlanguages #learnjapanese #learnkorean #learnchinese #family #spyxfamily  #AmazonMusicProudHeroes #chichi",tiktok
duolingo,Education,Language Learning,when i see a man post a thirst trap to chappell roan 😒,6,9900000,1800000,10500,68200,6.1875,2024-05-17,https://www.tiktok.com/@duolingo/video/7369988060135640350,please no… #chappellroan #duolingo @Lily ,tiktok
busuu,Education,Language Learning,What is FR?,25,9800000,858000,4285,10600,982.7517048,2022-11-15,https://www.tiktok.com/@busuu/video/7166226990360448261,Abbreviations for texting 💬 do you know more? (they’re informal). #english #ingles #englisch #learnenglish ,tiktok
duolingo,Education,Language Learning,There is no text or emojis on this image.,13,9600000,1800000,25100,365900,6,2024-10-03,https://www.tiktok.com/@duolingo/video/7421561332538969390,ur too sexy to break ur streak bbygurl 🥺 #duolingo #theydontloveyoulikeiloveyou ,tiktok
teuidaapp,Education,Language Learning,this is the easiest way to learn Korean,466,9500000,1200000,11900,138700,516.3043478,2024-10-09,https://www.tiktok.com/@teuidaapp/video/7423648087685516560,Learn Hangeul by listening to a story #teuidaapp #hangeulday #learnkorean #한글의날 ,tiktok
duolingo,Education,Language Learning,just ate my oreos. think I’ll save the other half for later.,7,9300000,1300000,31600,19700,5.8125,2024-02-09,https://www.tiktok.com/@duolingo/video/7333618608268021038,a wittle treat for later #duolingo #languagelearning ,tiktok
youlearn.ai,Education,Study Aids & Flashcards,Bro is living in 2050 😱 *700 pages in 10 minutes !?,29,9200000,777800,799,93500,2600.339175,2024-09-27,https://www.tiktok.com/@youlearn.ai/video/7419429900173495582,Study faster with this 😭🤯 #study #studytok ,tiktok
parkeur.app,Education,Study Aids & Flashcards,Moi 20min par jour,10,9100000,115600,151,957,20.77151335,2024-08-28,https://www.tiktok.com/@parkeur.app/video/7408123767295069472,Testez Parkeur 💜💛,tiktok
busuu,Education,Language Learning,Why did you lie?,11,9100000,219100,766,4424,912.5551544,2024-05-28,https://www.tiktok.com/@busuu/video/7374019877985619233,🇺🇸 American accent tips with @Teacher Aliona ✨ #english #englishteacher #learnenglish #englishlesson #languagelearning ,tiktok
duolingo,Education,Language Learning,There is no text in this image.,15,9000000,456100,9337,22600,5.625,2023-05-18,https://www.tiktok.com/@duolingo/video/7234241907394661674,"our @crunchyroll collab is all going according to plan 🤭 To celebrate our new OTP, you get a free month of Crunchyroll Mega Fan for all of your anime needs😮‍💨 link in bio #anime #languagelearning #duolingo #dulapeep ",tiktok
classpoint.io,Education,Virtual Classrooms,Why make PowerPoint slides like this?! 😱😱,39,8900000,504600,662,32600,70.63492063,2023-05-06,https://www.tiktok.com/@classpoint.io/video/7230020222999137542,They're teaching you this PowerPoint design hack the WRONG way ❌ Here's a shortcut! 😜🫢 #powerpoint #design #tutorial #hack #presentation #animation #studytok #edutok #teachersoftiktok #foryou #foryoupage ,tiktok
elevateapp,Education,Study Aids & Flashcards,3 signs you have a small vocabulary  Signs you have a small vocabulary,32,8800000,14900,410,1055,6779.661017,2023-07-01,https://www.tiktok.com/@elevateapp/video/7250585924059286827,Are you the friend with the small vocabulary? Level-up your vocabulary with Elevate! #braintraining #elevateapp #elevatebraintraining #vocab #vocabulary ,tiktok
duolingo,Education,Language Learning,IMAGINE IF,0,8700000,1200000,38600,13600,5.4375,2024-02-05,https://www.tiktok.com/@duolingo/photo/7332133815600729390,ive never felt more beautiful #duolingo #languagelearning #fortnite,tiktok
duolingo,Education,Language Learning,"guys what if we all commented ""AYE DOMINO"" under duolingo's next post",7,8500000,1300000,98900,122000,5.3125,2024-08-06,https://www.tiktok.com/@duolingo/video/7400050394828672286,AYE DOMINO 🗣️ #skz #hanjisung #duolingo,tiktok
duolingo,Education,Language Learning,use this as your streak reminder today,8,8500000,1100000,20900,1600000,5.3125,2024-09-05,https://www.tiktok.com/@duolingo/video/7411261710117457195,STREAK REMINDER 🔥🗣️🗣️ #streak #duolingo #streaks,tiktok
duolingo,Education,Language Learning,me trying to get charles leclerc to notice me,7,8300000,232700,50400,8066,5.1875,2024-06-10,https://www.tiktok.com/@duolingo/video/7378844758183120170,i could treat you so much better than ferrari king #f1 #formula1 #charlesleclerc #ferrari #canadianGP #fyp ,tiktok
kadama,Education,Study Aids & Flashcards,no one is safe anymore,10,8300000,113600,1367,18300,39.68443701,2022-11-13,https://www.tiktok.com/@kadama/video/7165571044969811243,ABSOLUTELY NOT! #instagram #instagramhack #lifehack #greenscreenvideo ,tiktok
kadama,Education,Study Aids & Flashcards,Don’t tell APPLE ❌,13,8200000,960800,21800,79300,39.20631126,2021-03-09,https://www.tiktok.com/@kadama/video/6937396126790339845,who likes my squash #iphonetricks #iphone11 #iphone12 #iphonehack #technology #lifehacks,tiktok
duolingo,Education,Language Learning,50% fluffy hair,29,8100000,1300000,21600,260400,5.0625,2024-12-09,https://www.tiktok.com/@duolingo/video/7446502616638541098,rate the fit 😮‍💨😮‍💨😮‍💨 #duolingo365 #roblox #sigma ,tiktok
duolingo,Education,Language Learning,I have 4 moods:,0,8100000,1100000,39100,149800,5.0625,2024-05-29,https://www.tiktok.com/@duolingo/photo/7374435768749575466,you don’t want to see me angy… #oioioi #duolingo #mood,tiktok
duolingo,Education,Language Learning,if you dance,8,8000000,1100000,33500,186100,5,2024-08-07,https://www.tiktok.com/@duolingo/video/7400416135226658094,if you dance 𝒾’𝓁𝓁 𝒹𝒶𝓃𝒸ℯ 🩰 #duolingo #ifyoudanceilldance #meandwho ,tiktok
duolingo,Education,Language Learning,on our way to win it for 🇲🇦 because user232882’s ego was too fragile to handle a 9 y/o little girl,6,8000000,1200000,21500,43400,5,2022-12-14,https://www.tiktok.com/@duolingo/video/7177020223260855595,I’m on whatever team Achraf Hakimi is on #duolingo #moroccovsfrance #DulaPeep #achrafhakimi #maghrebia🇲🇦 ,tiktok
quizlet,Education,Study Aids & Flashcards,pov: you're at the quizlet office watching me think of more zaddy content during my lunch break  The person running this account is unhinged and I'm here for it,7,7900000,473300,3382,7986,351.1111111,2023-03-17,https://www.tiktok.com/@quizlet/video/7211562298417237291,Replying to @ireallylikeapplesauce Gotta give the people what they want 🙏 #fyp #lunchtime #unhinged #pedropascalmeme ,tiktok
duolingo,Education,Language Learning,"all these keyboards, but I still wasn't your type 😥",17,7800000,1500000,27100,182300,4.875,2023-08-22,https://www.tiktok.com/@duolingo/video/7269844202945514782,you made Duo sad :( #dulapeep #duolingo #languagelearning ,tiktok
duolingo,Education,Language Learning,me because I'd rather move to China & learn Mandarin on Duolingo,8,7800000,867200,11300,90400,4.875,2025-01-14,https://www.tiktok.com/@duolingo/video/7459872007396543787,"pack it up, we’re going to Red Note #duolingo #tiktokban ",tiktok
kadama,Education,Study Aids & Flashcards,Secrets your teachers don't want you to know,9,7800000,494600,1892,56000,37.29380827,2021-03-18,https://www.tiktok.com/@kadama/video/6940710605825264901,🤫 🤐 #schoolhacks #collegehacks #lifehacks #studyhacks #student #studytips #studytok,tiktok
kadama,Education,Study Aids & Flashcards,How I got a 4.0,11,7600000,190800,2062,1108,36.33755678,2022-04-03,https://www.tiktok.com/@kadama/video/7082187829182303534,College students 💯📚,tiktok
insidr.ai,Education,AI Study Tools,Best AI Tools For Students,5,7500000,600900,1184,27100,5434.782609,2023-02-14,https://www.tiktok.com/@insidr.ai/video/7199927214241041670,Best AI Tools for students 🤫 Get all my AI Tools 👉🏻 Insidr.ai  #ai #artificialintelligence #aitools #aiforstudents #aistudents #studentsoftiktok #student #insidrai ,tiktok
duolingo,Education,Language Learning,BEYONCE!!,5,7300000,1100000,16700,164800,4.5625,2024-12-07,https://www.tiktok.com/@duolingo/video/7445690166620146990,no one is safe from duo… @Bottito #duolingo365 #roblox ,tiktok
kadama,Education,Study Aids & Flashcards,Don't tell APPLE,10,7300000,526200,2000,37400,34.90317954,2021-04-17,https://www.tiktok.com/@kadama/video/6952020884064423174,But me a quail egg #iphonetricks #iphone12pro #lifehack #technology,tiktok
duolingo,Education,Language Learning,pov: Arab moms only hearing what they want to hear,9,7300000,610800,10400,7746,4.5625,2024-03-01,https://www.tiktok.com/@duolingo/video/7341063203541224750,yalla habibi get me my shai #real #arabtiktok #duolingo,tiktok
masterclass,Education,Virtual Classrooms,Achieve More with Gen AI  We're actually going to generate a business plan.,71,7200000,21600,382,1746,322.147651,2024-08-27,https://www.tiktok.com/@masterclass/video/7407843574378810655,"AI is rapidly transforming the way we live and work. Learn how to boost productivity and kick-start your creativity with some of the most followed voices in AI and the future of work. It’s time to start working less and achieving more. Link in bio for our newest class, “Achieve More with Gen AI”",tiktok
kadama,Education,Study Aids & Flashcards,Don't tell APPLE,9,7200000,691200,4917,14000,34.42505379,2021-02-25,https://www.tiktok.com/@kadama/video/6932924358646172933,not letting her in 🙃 #iphone #iphonetricks #iphonehack #iphone11 #tech #airpods,tiktok
duolingo,Education,Language Learning,just another side quest 🤔🤔,8,7200000,711000,13000,16600,4.5,2024-02-22,https://www.tiktok.com/@duolingo/video/7338223427964177706,IS IT A BOY OR A GIRL? #duolingo #genderreveal @Noah and Lori ,tiktok
duolingo,Education,Language Learning,lobotomy core,6,7200000,1300000,18800,211100,4.5,2024-05-15,https://www.tiktok.com/@duolingo/video/7369228888632741151,it’s so preppy in here #lobotomy #duolingo #languagelearning ,tiktok
duolingo,Education,Language Learning,me before brawl stars: - happy - multilingual - will to live - loyal,0,7200000,978000,22000,211900,4.5,2024-09-04,https://www.tiktok.com/@duolingo/photo/7410939643966835998,my Super is making sure you do your lesson #brawlstars #duolingo ,tiktok
duolingo,Education,Language Learning,bUFFALO. ChITCHKEN.,13,7100000,208000,19800,12000,4.4375,2024-06-06,https://www.tiktok.com/@duolingo/video/7377050895319567658,owl wanT ChITCHEN weemgs #duolingo #chicken #wings ,tiktok
duolingo,Education,Language Learning,i'm batman,15,7100000,921400,21700,37200,4.4375,2024-03-08,https://www.tiktok.com/@duolingo/video/7343674284218354987,FOR GOTHAM🦇🦇#fyp #duolingo #batman #languagelearning ,tiktok
duolingo,Education,Language Learning,me telling myself I’m untouchable cuz I’m hot af but really it’s cuz this owl suit smells like an 8th grade boy going through puberty,6,7100000,1700000,22200,40700,4.4375,2022-12-10,https://www.tiktok.com/@duolingo/video/7175252662189903146,Visceral reaction the second you come near me #duolingo #DulaPeep #languagelearning  ,tiktok
duolingo,Education,Language Learning,my life without Dua Lipa 💔,13,7100000,737400,15200,7536,4.4375,2024-02-21,https://www.tiktok.com/@duolingo/video/7337718501529931051,"my name might be Duo, but I’m still waiting for my other half 🥺💔 #duolingo #dulapeep ",tiktok
picsolve,Education,AI Study Tools,Pov: doing your homework in the car,8,7100000,235500,437,3315,1019.089996,2023-05-16,https://www.tiktok.com/@picsolve/video/7233611120093842730,Say what #lifehack #tiktok ,tiktok
duolingo,Education,Language Learning,the duolingo bird has chosen a side.,11,7100000,899000,11100,52400,4.4375,2024-07-07,https://www.tiktok.com/@duolingo/video/7388701492917603630,we ride with our allies at dawn. the duolingo bird will fight for the gnomes. he will also cosplay as klee. #gnomes #knights #fyp #animeexpo  #GenshinImpact #genshinlingo ,tiktok
duolingo,Education,Language Learning,erm what the sigma,7,7000000,897300,21800,153300,4.375,2024-05-09,https://www.tiktok.com/@duolingo/video/7366999317279739178,brain rot courses dropping soon #sigma #brainrot ,tiktok
duolingo,Education,Language Learning,POOKIE LOOKS ABSOLUTELY FIRE 🔥 HOW MANY LETTERS IN DUOLINGO??,9,7000000,562200,31600,9733,4.375,2024-02-01,https://www.tiktok.com/@duolingo/video/7330363289551162670,Replying to @AKB ate !!!!!!! #fyp #duolingo #duolingostreak #languagelearning ,tiktok
elevateapp,Education,Study Aids & Flashcards,Avoid these phrases:,39,6900000,17000,696,1139,5315.87057,2024-01-08,https://www.tiktok.com/@elevateapp/video/7321741686206450987,Resolve to remove these phrases from your vocabulary in 2024 with help from Elevate! #braintraining #elevateapp #elevatebraintraining #vocab #vocabulary ,tiktok
duolingo,Education,Language Learning,No I demand it,60,6900000,847000,16900,112700,4.3125,2024-04-01,https://www.tiktok.com/@duolingo/video/7352913443235646762,Sing along to ✨SPANISH OR VANISH✨ from DUOLINGO ON ICE! The perfect tune to avoid doing your lesson to. Buy tickets at link in bio. #fyp #duolingo #DuolingoOnIce,tiktok
kadama,Education,Study Aids & Flashcards,Another laptop life hack I guarantee you didn’t know about 😱 (#60),24,6800000,305300,732,92400,32.5125508,2022-04-17,https://www.tiktok.com/@kadama/video/7087386120597540139,Make your computer 3x faster! #macbook #lifehacks #lifetips #techtips #macbookhacks #computertricks,tiktok
duolingo,Education,Language Learning,the council is deciding your fate...,0,6800000,1100000,22300,207600,4.25,2024-05-07,https://www.tiktok.com/@duolingo/photo/7366263399329664298,,tiktok
chegg,Education,Study Aids & Flashcards,How students sleep knowing they have 10 assignments due by 11:59pm,8,6700000,106200,182,25,86.56330749,2025-01-14,https://www.tiktok.com/@chegg/video/7459581311078911262,"Diva, a deadline behind you #trending #college #homework #chegg ",tiktok
