style_key,template_id,template
pattern_break,PB-007,"The lazy version of {{thing}} got the best response"
pattern_break,PB-008,"One boring change to {{thing}} made a big difference"
pattern_break,PB-009,"The thing I almost deleted saved {{project}}"
pattern_break,PB-010,"{{result}} sounds weird until you understand {{reason}}"
vulnerable_reveal,VR-001,"I almost gave up on {{thing}}, then noticed this"
vulnerable_reveal,VR-002,"I was embarrassed by {{mistake}}, but it taught me {{lesson}}"
vulnerable_reveal,VR-003,"I avoided {{task}} because I was scared of {{fear}}"
vulnerable_reveal,VR-004,"The hardest part of {{journey}} was not {{thing}}"
vulnerable_reveal,VR-005,"I pretended I understood {{topic}} until {{moment}} exposed me"
vulnerable_reveal,VR-006,"I lost {{cost}} because I ignored {{warning_sign}}"
vulnerable_reveal,VR-007,"I was wrong about {{belief}}, and it changed {{outcome}}"
vulnerable_reveal,VR-008,"The mistake I would delete from my first {{project}}"
vulnerable_reveal,VR-009,"I did not want to admit this about {{problem}}"
vulnerable_reveal,VR-010,"The moment I realized {{old_way}} was not working"
viewer_dare,VD-001,"Most {{audience}} cannot spot the mistake in this {{example}}"
viewer_dare,VD-002,"Try to find the problem in this {{example}} first"
viewer_dare,VD-003,"If you can answer this, you understand {{topic}}"
viewer_dare,VD-004,"Pause and guess which {{thing}} works better"
viewer_dare,VD-005,"Can you fix this {{task}} in under {{time_limit}}?"
viewer_dare,VD-006,"Only people who understand {{idea}} will catch this"
viewer_dare,VD-007,"Which would you choose: {{option_a}} or {{option_b}}?"
viewer_dare,VD-008,"I bet you will miss this detail in {{example}}"
viewer_dare,VD-009,"Rank these {{examples}} from worst to best"
viewer_dare,VD-010,"Before I explain, what would you change about {{thing}}?"
cold_open_story,CS-001,"{{time_marker}}, I was doing {{normal_task}} when {{unexpected_event}} happened"
cold_open_story,CS-002,"Someone asked for {{simple_request}}, then {{problem}} showed up"
cold_open_story,CS-003,"I opened {{thing}} and knew something was wrong"
cold_open_story,CS-004,"I thought {{task}} would be quick, then found {{surprise}}"
cold_open_story,CS-005,"A random {{message}} made me rethink {{topic}}"
cold_open_story,CS-006,"I was about to finish {{project}} when {{problem}} appeared"
cold_open_story,CS-007,"The first version of {{project}} was bad, but one detail saved it"
cold_open_story,CS-008,"I ignored {{small_warning}} until it became {{big_problem}}"
cold_open_story,CS-009,"The best idea came after I almost quit {{project}}"
cold_open_story,CS-010,"I showed {{thing}} to {{person}}, and their reaction changed everything"
identity_challenge,IC-001,"{{core_belief}} doesn't work the way {{audience}} think"
identity_challenge,IC-002,"Stop telling yourself {{core_belief}} is the answer"
identity_challenge,IC-003,"{{audience}} who still believe in {{core_belief}} are behind"
identity_challenge,IC-004,"The uncomfortable truth about {{core_belief}}"
identity_challenge,IC-005,"{{core_belief}} is a lie {{audience}} keep repeating"
identity_challenge,IC-006,"{{popular_method}} is why {{audience}} aren't getting results"
identity_challenge,IC-007,"Every {{audience}} says {{core_belief}} but none of them can prove it"
identity_challenge,IC-008,"{{popular_method}} made you worse and you don't even know it"
identity_challenge,IC-009,"If you're still doing {{popular_method}} in {{year}}, I feel bad for you"
identity_challenge,IC-010,"{{core_belief}} is holding {{audience}} back and nobody will say it"
identity_challenge,IC-011,"You don't need {{popular_method}}. You need this"
identity_challenge,IC-012,"{{audience}} will hate me for saying this about {{core_belief}}"
identity_challenge,IC-013,"The {{core_belief}} era is over. Here's what replaced it"
identity_challenge,IC-014,"{{audience}} are wrong about {{core_belief}} and the data proves it"
identity_challenge,IC-015,"I {{popular_method}} for {{time_period}} and it was a complete waste"
identity_challenge,IC-016,"{{audience}} are defending {{core_belief}} because it feels safe"
identity_challenge,IC-017,"{{core_belief}} feels true until {{problem}} shows up"
identity_challenge,IC-018,"The {{popular_method}} crowd keeps missing the obvious part"
identity_challenge,IC-019,"{{identity}} are not stuck because they lack effort"
identity_challenge,IC-020,"Your favorite {{popular_method}} might be the bottleneck"
identity_challenge,IC-021,"{{common_assumption}} is the trap {{audience}} keep walking into"
identity_challenge,IC-022,"The loudest {{audience}} are usually wrong about {{core_belief}}"
identity_challenge,IC-023,"{{core_belief}} is not a strategy. It is a coping mechanism"
identity_challenge,IC-024,"If {{popular_method}} worked, {{audience}} would not be this stuck"
identity_challenge,IC-025,"Most {{identity}} confuse {{popular_method}} with progress"
identity_challenge,IC-026,"The hard truth: {{core_belief}} is not enough"
identity_challenge,IC-027,"{{audience}} keep protecting the exact habit causing {{pain_point}}"
identity_challenge,IC-028,"The real problem is not {{problem}}. It is {{common_assumption}}"
identity_challenge,IC-029,"{{popular_method}} looks productive because the cost is hidden"
identity_challenge,IC-030,"Nobody wants to admit {{controversial_take}}"
identity_challenge,IC-031,"Your {{popular_method}} routine is probably hiding the real issue"
identity_challenge,IC-032,"{{identity}} love {{core_belief}} because it delays the uncomfortable part"
identity_challenge,IC-033,"The belief keeping {{audience}} busy is {{core_belief}}"
identity_challenge,IC-034,"{{core_belief}} is a great excuse and a weak plan"
identity_challenge,IC-035,"What if {{popular_method}} is the reason {{result}} still feels impossible?"
identity_challenge,IC-036,"The {{audience}} who win usually abandon {{core_belief}} first"
identity_challenge,IC-037,"{{common_assumption}} sounds smart until the output proves otherwise"
identity_challenge,IC-038,"Your old playbook is not discipline. It is drag"
identity_challenge,IC-039,"{{audience}} do not need more effort. They need fewer wrong moves"
identity_challenge,IC-040,"The painful part is {{popular_method}} might be the problem"
identity_challenge,IC-041,"{{identity}} are treating {{common_assumption}} like a personality"
identity_challenge,IC-042,"The fastest way to stay average is defending {{core_belief}}"
identity_challenge,IC-043,"{{core_belief}} is why your {{workflow}} still feels heavy"
identity_challenge,IC-044,"Stop calling {{popular_method}} a strategy"
identity_challenge,IC-045,"{{audience}} are loyal to {{old_way}} for the wrong reason"
identity_challenge,IC-046,"The thing you trust most is probably creating {{pain_point}}"
identity_challenge,IC-047,"{{popular_method}} is not the flex {{audience}} think it is"
identity_challenge,IC-048,"The uncomfortable part: {{core_belief}} rewards looking busy"
identity_challenge,IC-049,"Most {{audience}} are not behind. Their belief system is"
identity_challenge,IC-050,"{{identity}} defend {{popular_method}} because changing it feels personal"
identity_challenge,IC-051,"The advice {{audience}} repeat is causing the delay"
identity_challenge,IC-052,"Your {{core_belief}} habit is costing more than you notice"
identity_challenge,IC-053,"{{common_assumption}} is how smart people waste {{time}}"
identity_challenge,IC-054,"The problem with {{popular_method}} is that it feels responsible"
identity_challenge,IC-055,"{{core_belief}} is only useful until it becomes your ceiling"
identity_challenge,IC-056,"{{audience}} keep choosing the hard way and calling it quality"
identity_challenge,IC-057,"The ugly truth about {{popular_method}} is visible in the result"
identity_challenge,IC-058,"{{identity}} are obsessed with {{popular_method}} and missing {{real_thing}}"
identity_challenge,IC-059,"Your audience can tell when {{common_assumption}} is running the show"
identity_challenge,IC-060,"{{core_belief}} is not wrong. It is incomplete"
identity_challenge,IC-061,"The reason {{popular_method}} fails is not what {{audience}} think"
identity_challenge,IC-062,"{{identity}} are solving {{problem}} from the wrong end"
identity_challenge,IC-063,"The belief sounds noble. The result says otherwise"
identity_challenge,IC-064,"You are not bad at {{topic}}. You are loyal to {{old_way}}"
identity_challenge,IC-065,"{{popular_method}} creates confidence before it creates results"
identity_challenge,IC-066,"{{audience}} need to hear this: {{controversial_take}}"
identity_challenge,IC-067,"The old rule stopped working when {{trend}} changed"
identity_challenge,IC-068,"{{core_belief}} is a comfort zone with better branding"
identity_challenge,IC-069,"The thing {{audience}} call discipline is often just delay"
identity_challenge,IC-070,"If {{core_belief}} were enough, {{pain_point}} would be gone"
identity_challenge,IC-071,"{{popular_method}} is a ritual, not a result"
identity_challenge,IC-072,"The strongest {{identity}} question {{core_belief}} first"
identity_challenge,IC-073,"Your content is not failing because of {{problem}}"
identity_challenge,IC-074,"{{audience}} are addicted to the method, not the outcome"
identity_challenge,IC-075,"The most defended belief is usually the most expensive one"
identity_challenge,IC-076,"{{common_assumption}} is why {{audience}} keep restarting"
identity_challenge,IC-077,"{{popular_method}} feels safe because it delays judgment"
identity_challenge,IC-078,"The hard part is not {{task}}. It is letting go of {{core_belief}}"
identity_challenge,IC-079,"{{identity}} who cling to {{old_way}} are choosing friction"
identity_challenge,IC-080,"The result changed when {{core_belief}} stopped being sacred"
identity_challenge,IC-081,"{{audience}} confuse effort with evidence"
identity_challenge,IC-082,"{{popular_method}} is not proof you care"
identity_challenge,IC-083,"The belief you protect is the bottleneck you keep missing"
identity_challenge,IC-084,"{{core_belief}} keeps {{audience}} comfortable and inconsistent"
identity_challenge,IC-085,"The obvious answer is not always the honest answer"
identity_challenge,IC-086,"{{identity}} are not ready for the {{popular_method}} conversation"
identity_challenge,IC-087,"{{popular_method}} might be the reason {{goal}} keeps moving away"
identity_challenge,IC-088,"The expensive mistake is believing {{common_assumption}}"
identity_challenge,IC-089,"{{audience}} keep optimizing around the wrong pain"
identity_challenge,IC-090,"The fastest path is usually the one {{audience}} dismiss"
identity_challenge,IC-091,"{{core_belief}} is not your edge anymore"
identity_challenge,IC-092,"Nobody scrolls because your {{popular_method}} was technically correct"
identity_challenge,IC-093,"The thing you call quality control might be fear"
identity_challenge,IC-094,"{{identity}} are making {{task}} harder to protect {{core_belief}}"
identity_challenge,IC-095,"The wrong belief can make a simple workflow feel impossible"
identity_challenge,IC-096,"{{popular_method}} is the socially acceptable version of procrastination"
identity_challenge,IC-097,"The audience does not reward {{common_assumption}}"
identity_challenge,IC-098,"{{audience}} keep mistaking motion for proof"
identity_challenge,IC-099,"The uncomfortable receipt is your {{result}}"
identity_challenge,IC-100,"{{core_belief}} works until scale exposes it"
identity_challenge,IC-101,"The method everyone praises is hiding the weakness"
identity_challenge,IC-102,"{{identity}} hate hearing that {{old_way}} is optional"
identity_challenge,IC-103,"{{popular_method}} is why the before still looks like the before"
identity_challenge,IC-104,"Your best excuse has a workflow problem under it"
identity_challenge,IC-105,"{{audience}} would rather defend {{core_belief}} than measure the output"
identity_challenge,IC-106,"The scary part is {{new_way}} makes {{old_way}} look unnecessary"
identity_challenge,IC-107,"If {{common_assumption}} is true, why is {{pain_point}} still there?"
identity_challenge,IC-108,"{{popular_method}} creates the feeling of progress before progress"
identity_challenge,IC-109,"The mistake is treating {{core_belief}} like a law"
identity_challenge,IC-110,"The people winning at {{topic}} already stopped doing {{old_way}}"
identity_challenge,IC-111,"{{identity}} keep blaming {{problem}} instead of the method"
identity_challenge,IC-112,"The proof gets interesting when {{core_belief}} falls apart"
identity_challenge,IC-113,"The old answer is too slow for {{timeframe}}"
identity_challenge,IC-114,"The viewer knows when {{popular_method}} is just theater"
identity_challenge,IC-115,"{{audience}} are one belief away from cleaner execution"
